job_id,title,company,work_mode,job_type,Skill_Set,Language,City,District,Country,Industry,Job_Title,Mapped_Skill_Set
4172657691,Senior BI Expert - Data Engineer,PRIMA Partners Global,Hybrid,Full-time,"SAP, Snowflake, Databricks, ETL processes, ETL",English,Augsburg,Bavaria,Germany,Digital,Data Engineer,"Databricks, ETL Tools, SAP, Snowflake"
4133859673,Artificial Intelligence Engineer (Freelancer) ,Hashlist,Hybrid,Contract,"Python, Java, R, TensorFlow",English,Cologne,North Rhine-Westphalia,Germany,Product,Data Engineer,"Python, TensorFlow, Java, R"
4087129745,Cloud Data Engineer (all genders) ,msg,Hybrid,Full-time,"Scala, Python, SQL, Cloud, Databricks, Snowflake, Azure, AWS",German,Munich,Bavaria,Germany,Sales & Marketing,Data Engineer,"Databricks, Scala, AWS, SQL, Python, Snowflake, Azure, GCP"
4173521340,Senior Data Engineer (w/m/d) ,ista,Hybrid,Full-time,"Azure, Snowflake, Cloud, AWS",German,Essen,North Rhine-Westphalia,Germany,Product,Data Engineer,"Snowflake, AWS, GCP, Azure"
4051576366,Business Intelligence Engineer*,Wentronic,On-site,Full-time,"Python, SQL,  DAX, Power BI",English & German,Brunswick,Lower Saxony,Germany,Product,Data Engineer,"Python, Power BI, SQL"
4160066834,Senior Data Engineer,Ucaneo,On-site,Full-time,"Java, Python, Cloud, Google Cloud, Azure, AWS",English,Berlin,Berlin,Germany,Product,Data Engineer,"AWS, Java, Python, Azure, GCP"
4176814152,Data Engineer (m/w/d),Not Found,On-site,Full-time,ETL,German,Unknown,Unknown,Germany,Sales & Marketing,Data Engineer,ETL Tools
4152194565,"Senior Data Engineer (Remote, Python, Cloud, Snowflake)",Xcede Group,Remote,Full-time,"CI/CD, Python, Snowflake, Kafka, Terraform",English,Unknown,Unknown,Germany,Product,Data Engineer,"Terraform, Kafka, Python, Snowflake, CI/CD"
3925555591,Data Engineer (all genders) ,adesso SE,On-site,Full-time,"Java, CI/CD, Scala, Git, GCP, Python, Cloud, Ansible, Kafka, Azure, AWS",German,Munich,Bavaria,Germany,Sales & Marketing,Data Engineer,"Scala, Java, Kafka, git, AWS, Python, Azure, GCP, CI/CD"
4075534406,Senior Data Engineer (w/m/d) ,Capgemini,Hybrid,Full-time,"Java, CI/CD, Scala, Python, SQL, Cloud, Databricks, Snowflake, Spark, PySpark, AWS",German,Frankfurt am Main,Hesse,Germany,Sales & Marketing,Data Engineer,"Databricks, Scala, Java, AWS, SQL, Python, Spark, Snowflake, GCP, CI/CD"
3925558486,Data Engineer (all genders) ,adesso SE,On-site,Full-time,"Java, CI/CD, Scala, Git, GCP, Python, Cloud, Ansible, Kafka, Azure, AWS",German,Berlin,Berlin,Germany,Sales & Marketing,Data Engineer,"Scala, Java, Kafka, git, AWS, Python, Azure, GCP, CI/CD"
